Unique_Id,Alt_Id,Trail_Name,Source,Distance,Elevation_Gain,Highest_Point,Difficulty,Est_Hike_Duration,Trail_Type,Permits,Rating,Review_Count,Area,State,Country,Latitude,Longitude,Url,Cover_Photo,Parsed_Date
ce84841d7569,,Quartz Creek,WTA,8.0,500.0,2500.0,3.0,,roundtrip,Northwest Forest Pass,2.67,6,South Cascades,Washington,United States,46.1827,-121.8489,https://www.wta.org/go-hiking/hikes/quartz-creek,https://www.wta.org/site_images/hikes/quartzcrk_oldgrowth_ojerio.jpg/@@images/a8ff7f0f-dec6-40fc-b5ee-bb8b61228a40.jpeg,2024-05-17
92677f8055c3,,Holder Ridge Trail,WTA,1.57,425.0,900.0,1.0,,one-way,None,3.0,3,Issaquah Alps,Washington,United States,47.4326,-121.9708,https://www.wta.org/go-hiking/hikes/taylor-mountain-holder-ridge-trail,https://www.wta.org/site_images/hikes/taylor-mountain_holder-ridge_bykimlich.jpeg/@@images/ed230abf-d2bd-48d6-98db-46eefa7218d0.jpeg,2024-05-17
1d287d17ed79,,Whiskey Still Trail,WTA,4.66,600.0,1050.0,3.0,,roundtrip,None,4.0,1,Issaquah Alps,Washington,United States,47.4328,-121.9709,https://www.wta.org/go-hiking/hikes/whiskey-still-trail,https://www.wta.org/site_images/hikes/whiskey-still-trail-photo-by-ups-n-downs.jpeg/@@images/9681efc0-3d62-4419-bfe3-65fcb9c6e323.jpeg,2024-05-17
3b1ddb6ca9c0,,Larch Mountain,WTA,14.4,4000.0,4050.0,5.0,,roundtrip,Northwest Forest Pass,4.0,1,Southwest Washington,Washington,United States,45.5776,-122.1172,https://www.wta.org/go-hiking/hikes/larch-mountain,https://www.wta.org/site_images/hikes/larch-mountain_kirt.jpeg/@@images/28fc787b-d07b-44aa-ab88-52a2cbcd414f.jpeg,2024-05-17
ac3be1cb3f82,,Eagle Creek Overlook Trail,WTA,0.4,279.0,285.0,1.0,,roundtrip,None,0.0,0,Southwest Washington,Washington,United States,45.6412,-121.9317,https://www.wta.org/go-hiking/hikes/eagle-creek-overlook-trail,https://www.wta.org/site_images/hikes/hike.image-2024-05-16.130453301591/@@images/a46a6a44-757f-4618-8b64-c9164dd43115.jpeg,2024-05-17
38704336ee20,,Barclay Lake,WTA,4.4,500.0,2423.0,2.0,,roundtrip,Northwest Forest Pass,4.02,93,Central Cascades,Washington,United States,47.7923,-121.4592,https://www.wta.org/go-hiking/hikes/barclay-lake,https://www.wta.org/site_images/hikes/dscn5991_rev2.jpg/@@images/0d4a8b22-4d18-46ac-84f6-809fe93fdd25.jpeg,2024-05-17
7ed8006aa7a4,,Shady Glen,WTA,0.4,227.0,201.0,1.0,,roundtrip,Northwest Forest Pass,0.0,0,Southwest Washington,Washington,United States,45.6402,-121.925,https://www.wta.org/go-hiking/hikes/shady-glen,https://www.wta.org/site_images/hikes/hike.image-2024-05-16.093120431588/@@images/59363fe7-a26c-468a-9407-2df63cb81983.jpeg,2024-05-17
2cdc8ea381e3,,Wauna Viewpoint,WTA,3.1,1678.0,1688.0,3.0,,roundtrip,Northwest Forest Pass,0.0,0,Southwest Washington,Washington,United States,45.6402,-121.925,https://www.wta.org/go-hiking/hikes/wauna-viewpoint,https://www.wta.org/site_images/hikes/hike.image-2024-05-16.092701495071/@@images/c2432890-cd42-426d-bdad-227ac2b0a5ac.jpeg,2024-05-17
671e2eb186c0,,Holder Knob,WTA,3.28,500.0,1050.0,2.0,,roundtrip,None,3.57,7,Issaquah Alps,Washington,United States,47.4326,-121.9712,https://www.wta.org/go-hiking/hikes/holder-knob,https://www.wta.org/site_images/hikes/holder-knob.jpeg-1/@@images/25e86db5-c949-4da2-83e0-013fa27b98cc.jpeg,2024-05-17
3e3fe661c52f,,Buck Point,WTA,0.8,452.0,702.0,1.0,,roundtrip,Northwest Forest Pass,0.0,0,Southwest Washington,Washington,United States,45.6427,-121.9249,https://www.wta.org/go-hiking/hikes/buck-point,https://www.wta.org/site_images/hikes/hike.image-2024-05-16.091052674672/@@images/a3158266-9c0e-45b7-ac08-034d693426d0.jpeg,2024-05-17
